episode,rewards,lengths,successes
289,-290.0,200,False
290,-166.0,106,True
291,-299.0,200,False
292,-218.0,122,True
293,-269.0,173,True
294,-117.0,93,True
295,-193.0,133,True
296,-187.0,100,True
297,-102.0,60,True
298,-317.0,200,False
299,-86.0,71,True
300,-317.0,200,False
301,-217.0,148,True
302,-29.0,50,True
303,-172.0,103,True
304,-120.0,60,True
305,-226.0,139,True
306,-292.0,196,True
307,-131.0,116,True
308,-353.0,200,False
309,-27.0,21,True
310,-151.0,127,True
311,-317.0,200,False
312,-80.0,65,True
313,-26.0,38,True
314,-299.0,200,False
315,-174.0,123,True
316,-130.0,124,True
317,-190.0,103,True
318,-267.0,171,True
319,-335.0,200,False
320,-198.0,129,True
321,-168.0,162,True
322,9.0,12,True
323,-234.0,138,True
324,12.0,9,True
325,-71.0,47,True
326,-281.0,200,False
327,-56.0,59,True
328,-245.0,140,True
329,-84.0,78,True
330,-30.0,42,True
331,-262.0,166,True
332,-148.0,79,True
333,-165.0,123,True
334,-326.0,200,False
335,-13.0,25,True
336,-155.0,131,True
337,-254.0,200,False
338,-212.0,170,True
339,-77.0,71,True
340,-141.0,99,True
341,-239.0,143,True
342,-226.0,139,True
343,-303.0,189,True
344,-50.0,44,True
345,-148.0,115,True
346,-209.0,176,True
347,-93.0,69,True
348,-161.0,110,True
349,-56.0,50,True
350,-126.0,111,True
351,-164.0,104,True
352,-362.0,200,False
353,-139.0,124,True
354,-73.0,85,True
355,-13.0,25,True
356,-216.0,174,True
357,-12.0,33,True
358,-166.0,115,True
359,-92.0,86,True
360,-192.0,141,True
361,-50.0,53,True
362,-44.0,56,True
363,-9.0,30,True
364,-134.0,101,True
365,-131.0,98,True
366,0.0,12,True
367,-20.0,32,True
368,-80.0,74,True
369,-290.0,200,False
370,-185.0,125,True
371,-119.0,86,True
372,-182.0,167,True
373,-290.0,200,False
374,-162.0,138,True
375,-273.0,177,True
376,-39.0,42,True
377,-31.0,34,True
378,-130.0,97,True
379,-113.0,116,True
380,-3.0,24,True
381,-155.0,140,True
382,12.0,9,True
383,-143.0,110,True
384,-130.0,97,True
385,-122.0,98,True
386,-17.0,38,True
387,-156.0,123,True
388,-308.0,200,False
389,-146.0,122,True
390,-151.0,118,True
391,-56.0,50,True
392,-200.0,140,True
393,-105.0,90,True
394,-90.0,66,True
395,2.0,19,True
396,-56.0,59,True
397,-74.0,59,True
398,12.0,9,True
399,-344.0,200,False
400,-169.0,136,True
401,-150.0,135,True
402,-66.0,60,True
403,-269.0,191,True
404,13.0,8,True
405,12.0,9,True
406,-40.0,43,True
407,-155.0,140,True
408,-174.0,123,True
409,-99.0,84,True
410,-78.0,72,True
411,-77.0,89,True
412,-129.0,105,True
413,-148.0,124,True
414,-14.0,35,True
415,-115.0,118,True
416,-157.0,151,True
417,-105.0,72,True
418,-18.0,30,True
419,-140.0,125,True
420,-73.0,67,True
421,11.0,10,True
422,-131.0,152,True
423,-9.0,30,True
424,-254.0,200,False
425,-228.0,195,True
426,-152.0,110,True
427,-24.0,27,True
428,-32.0,35,True
